SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
521	-1	6	31.31	29.11	-999	-999	-999	-999	-999	-999	-999
521	0	0	32.37	29.18	-999	-999	-999	-999	-999	-999	-999
521	1	-1	38.54	30.95	-999	-999	-999	-999	-999	-999	-999
521	2	-2	38.54	35.75	-999	-999	-999	-999	-999	-999	-999
521	3	3	36.06	30.95	-999	-999	-999	-999	-999	-999	-999
521	4	-3	34.47	30.95	-999	-999	-999	-999	-999	-999	-999
521	5	-4	34.47	30.95	-999	-999	-999	-999	-999	-999	-999
521	6	-5	33.25	30.33	-999	-999	-999	-999	-999	-999	-999
521	7	-6	30.6	28.97	-999	-999	-999	-999	-999	-999	-999
522	-3	2	49.29	33.89	-999	-999	-999	-999	-999	-999	-999
522	-2	4	51.72	32.84	-999	-999	-999	-999	-999	-999	-999
522	-1	6	39.7	31.6	-999	-999	-999	-999	-999	-999	-999
522	0	0	40.26	31.74	-999	-999	-999	-999	-999	-999	-999
522	1	-1	51.7	32.72	-999	-999	-999	-999	-999	-999	-999
522	2	-2	51.75	32.84	-999	-999	-999	-999	-999	-999	-999
522	3	3	48.73	33.94	-999	-999	-999	-999	-999	-999	-999
522	4	-3	46.9	32.81	-999	-999	-999	-999	-999	-999	-999
522	5	-4	46.9	32.81	-999	-999	-999	-999	-999	-999	-999
522	6	-5	36.87	32.43	-999	-999	-999	-999	-999	-999	-999
522	7	-6	40.11	31.6	-999	-999	-999	-999	-999	-999	-999
523	-3	2	46.84	55.49	-999	-999	-999	-999	-999	-999	-999
523	-2	4	50.88	51.36	-999	-999	-999	-999	-999	-999	-999
523	-1	6	40.87	47.22	-999	-999	-999	-999	-999	-999	-999
523	0	0	41.74	47.48	-999	-999	-999	-999	-999	-999	-999
523	1	-1	50.93	51.3	-999	-999	-999	-999	-999	-999	-999
523	2	-2	50.82	51.36	-999	-999	-999	-999	-999	-999	-999
523	3	3	45.79	57.04	-999	-999	-999	-999	-999	-999	-999
