cno94	stdempst	spempst	mcamsis	fcamsis
771	0	0	49.94	52.37
771	1	-1	58.82	57.12
771	2	-2	58.82	59.35
771	3	2	59	67.9
771	4	1	58.1	50.8
771	5	3	44.4	54.9
771	6	4	44.4	50
772	0	0	53.08	52.58
772	1	-1	59	64.48
772	2	-2	59	62.2
772	3	2	59	67.9
772	4	1	53.9	50.8
772	5	3	53.9	67.9
772	6	4	52.2	50
773	0	0	44.58	54.16
773	1	-1	59	65.45
773	2	-2	59	65.45
773	3	2	59	67.9
773	4	1	42.7	50.8
773	5	3	42.7	67.9
773	6	4	42.7	50
774	0	0	50.77	56.71
774	1	-1	58.85	67.9
774	2	-2	58.85	67.9
774	3	2	59	67.9
774	4	1	58.1	54.9
774	5	3	50.4	54.9
