BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
22202	5	2	26.2	29.8
22202	6	3	26.2	23
22203	0	0	36.22	28.08
22203	1	-1	41.8	33.65
22203	2	1	41.8	43.8
22203	5	2	41.8	29.8
22203	6	3	33.2	27.2
22204	0	0	31.39	47.76
22204	1	-1	41.62	47.62
22204	2	1	41.8	50.8
22204	5	2	38.4	39.1
22204	6	3	28.4	47.8
22300	0	0	35.99	32.19
22300	1	-1	43.08	44.17
22300	2	1	42.76	48.6
22300	5	2	46.9	39.1
22300	6	3	31.93	30.33
22301	0	0	32.09	30.57
22301	1	-1	38.2	42.26
22301	2	1	38.2	48.6
22301	5	2	46.9	39.1
22301	6	3	31.7	29.8
22302	0	0	32.15	28.2
22302	1	-1	38.58	42.9
22302	2	1	38.2	48.6
22302	5	2	46.9	39.1
22302	6	3	28.9	27
22303	0	0	40.22	35.72
22303	1	-1	47.41	44.8
22303	2	1	47.5	48.6
22303	5	2	46.9	39.1
22303	6	3	35.8	33.2
22304	0	0	48.47	33.57
22304	1	-1	49.54	43.48
22304	2	1	50	48.6
22304	5	2	46.9	39.1
22304	6	3	47.6	31.9
22305	0	0	49.37	40.91
22305	1	-1	49.83	45.27
22305	2	1	50	48.6
22305	5	2	46.9	39.1
22305	6	3	47.6	39.3
23000	0	0	35.56	33.17
23000	1	-1	48.48	53.43
23000	2	1	48.71	68.37
23000	5	2	46.77	36.52
23000	6	3	32.36	30.19
23100	0	0	27.06	27.32
23100	1	-1	45.77	36.3
23100	2	1	46.22	36.3
23100	5	2	43.3	36.3
23100	6	3	24.75	27.06
23101	0	0	21.52	33.6
23101	1	-1	41.08	36.3
23101	2	1	41.5	36.3
23101	5	2	39.1	36.3
23101	6	3	19.8	33.2
23102	0	0	23.84	34.23
23102	1	-1	46.45	36.3
23102	2	1	47.3	70.4
23102	5	2	39.1	36.3
23102	6	3	21.8	33.2
23103	0	0	38.81	33.49
23103	1	-1	46.27	36.3
23103	2	1	46.2	70.4
23103	5	2	46.6	36.3
23103	6	3	36.6	33.2
23104	0	0	29.07	26.63
23104	1	-1	50.32	36.3
23104	2	1	51.3	36.3
23104	5	2	46.4	36.3
23104	6	3	28.8	26.5
23105	0	0	35.8	33.2
23105	1	-1	50.97	70.4
23105	2	1	51.3	70.4
23105	5	2	46.4	36.3
23105	6	3	28.7	33.2
23106	0	0	27.83	44.6
23106	1	-1	51.3	70.4
23106	2	1	51.3	70.4
23106	5	2	43.3	36.3
23106	6	3	27.2	27.1
23107	0	0	31.77	33.74
23107	1	-1	50.77	36.3
23107	2	1	51.3	36.3
23107	5	2	46.4	36.3
23107	6	3	28.7	33.2
23200	0	0	40.4	40.34
23200	1	-1	49.16	55.71
23200	2	1	49.31	70.84
23200	5	2	47.97	36.57
23200	6	3	37.49	35.17
23201	0	0	38.76	35.24
23201	1	-1	47.08	49.72
23201	2	1	46.7	64.1
23201	5	2	50.7	37.4
23201	6	3	32.8	21.8
23202	0	0	40.2	24.92
23202	1	-1	49.68	37.4
23202	2	1	49.5	70.4
23202	5	2	50.9	37.4
23202	6	3	35.6	21.8
23203	0	0	30.51	24.24
23203	1	-1	43.57	53.55
23203	2	1	44.2	70.4
23203	5	2	39.5	36.7
23203	6	3	25.6	21.8
23204	0	0	38.03	48.39
23204	1	-1	48.37	58.31
23204	2	1	48.7	71.6
23204	5	2	45.2	36.3
23204	6	3	33.2	42.2
23205	0	0	43.01	46.19
23205	1	-1	50.93	56.47
23205	2	1	50.8	71.6
23205	5	2	52.3	36.3
23205	6	3	40.8	42.2
23206	0	0	42.28	41.48
23206	1	-1	50.84	40.22
23206	2	1	51.5	71.6
23206	5	2	47.8	36.3
23206	6	3	38.5	42.2
23207	0	0	31.57	23.47
23207	1	-1	44.69	70.4
