soc2010	es	gb_csm	gb_csf
3545	4	61.33	63.82
3545	5	61.33	63.82
3546	0	60.05	54.27
3546	1	65.1	69.47
3546	2	65.1	69.47
3546	3	58.79	51.59
3546	4	58.79	51.59
3546	5	58.79	51.59
3550	0	55.63	58.83
3550	1	55.63	58.83
3550	2	55.63	58.83
3550	3	55.63	58.83
3550	4	55.63	58.83
3550	5	55.63	58.83
3561	0	60.47	52.15
3561	1	57.33	52.15
3561	2	57.33	48.24
3561	3	63.46	59.38
3561	4	57.33	48.24
3561	5	57.33	48.24
3562	0	55.59	60.82
3562	1	55.59	60.82
3562	2	55.59	60.82
3562	3	55.59	60.82
3562	4	55.59	60.82
3562	5	55.59	60.82
3563	0	57	54.89
3563	1	67.22	61.21
3563	2	67.22	61.21
3563	3	54.73	54.14
3563	4	54.73	54.14
3563	5	54.73	54.14
3564	0	67.14	51.46
3564	1	67.14	51.46
3564	2	67.14	51.46
3564	3	67.14	51.46
3564	4	67.14	51.46
3564	5	67.14	51.46
3565	0	50.24	56.54
3565	1	50.24	56.54
3565	2	50.24	56.54
3565	3	50.24	56.54
3565	4	50.24	56.54
3565	5	50.24	56.54
3567	0	55.16	58.15
3567	1	55.16	58.15
3567	2	55.16	58.15
3567	3	55.16	58.15
3567	4	55.16	58.15
3567	5	55.16	58.15
4112	0	56.07	46.95
4112	1	56.07	48.14
4112	2	56.07	46.95
4112	3	59.54	54.47
4112	4	54.97	46.95
4112	5	54.97	46.95
4113	0	49.76	50.2
4113	1	49.76	50.2
4113	2	49.76	49.75
4113	3	59.54	54.47
4113	4	44.81	49.75
4113	5	44.81	49.75
4114	0	63.96	56.94
4114	1	63.96	56.94
4114	2	63.96	56.94
4114	3	63.96	56.94
4114	4	63.96	56.94
4114	5	63.96	56.94
4121	0	33.97	45.74
4121	1	33.97	45.74
4121	2	33.97	56.59
4121	3	33.97	45.59
4121	4	33.97	45.59
4121	5	33.97	45.59
4122	0	54.62	47.63
4122	1	63.85	56.59
4122	2	63.85	56.59
4122	3	54.62	47.63
4122	4	54.62	47.63
4122	5	54.62	47.63
4123	0	56	51.02
4123	1	63.85	56.59
4123	2	63.85	56.59
4123	3	55.04	51.02
4123	4	55.04	51.02
4123	5	55.04	51.02
