isco88	empst3	mcamsis	fcamsis
832	3	46.09544	46.8607
833	0	36.2965	39.80819
833	1	35.48791	39.77245
833	2	35.48791	39.77245
833	3	36.33311	39.80838
834	0	52.56171	48.66673
834	1	52.56171	48.66673
834	2	52.56171	48.66673
834	3	52.56171	48.66673
840	0	44.31096	41.26391
840	1	47.11488	43.57917
840	2	47.11488	43.57917
840	3	44.21463	41.25746
888	0	49.19251	48.66673
888	3	49.19251	48.66673
900	0	37.99185	39.56935
900	1	35.56108	37.3806
900	2	35.56108	37.3806
900	3	38.21903	39.68424
910	0	39.61451	39.43878
910	1	41.99585	37.50297
910	2	41.99585	37.50297
910	3	39.49087	39.55244
911	0	46.57756	44.396
911	1	45.38601	42.94386
911	2	45.38601	42.94386
911	3	49.13573	45.44514
912	0	31.44425	36.38741
912	1	31.44425	38.7638
912	2	31.44425	38.7638
912	3	39.49087	35.59528
913	0	38.25104	38.31408
913	1	31.44425	34.60997
913	2	31.44425	34.60997
913	3	38.6615	38.51164
914	0	38.08564	40.46907
914	1	31.44425	40.47869
914	2	31.44425	40.47869
914	3	38.32014	40.46899
915	0	39.70909	44.09787
915	1	31.44425	38.7638
915	2	31.44425	38.7638
915	3	39.74961	44.11062
916	0	36.36164	36.4874
916	1	31.44425	36.82922
916	2	31.44425	36.82922
916	3	36.47709	36.48413
920	0	34.33623	37.68458
920	1	32.9598	36.31897
920	2	32.9598	36.31897
920	3	34.71705	37.86266
921	0	34.33623	37.68458
921	1	32.9598	36.31897
921	2	32.9598	36.31897
921	3	34.71705	37.86266
930	0	38.05273	40.6321
930	1	34.84856	40.81807
930	2	34.84856	40.81807
930	3	38.27542	40.63007
931	0	35.93283	40.71078
931	1	35.90117	41.00677
931	2	35.90117	41.00677
931	3	35.93533	40.69325
932	0	39.91718	40.55824
932	1	35.92156	40.55824
932	2	35.92156	40.55824
932	3	40.03431	40.55824
933	0	38.47814	40.72695
933	1	34.05978	40.72695
933	2	34.05978	40.72695
933	3	38.84585	40.72695
1000	0	78.42547	71.60659
1000	1	73.86257	62.95773
1000	2	68.56784	61.66029
1000	3	82.81843	78.51543
1100	0	76.64885	82.49641
1100	1	73.86257	62.95773
1100	2	68.56784	61.66029
1100	3	76.64885	82.49641
1110	0	76.5148	82.49641
1110	1	73.86257	62.95773
1110	2	68.56784	61.66029
1110	3	76.5148	82.49641
1111	0	76.5148	82.49641
1111	1	73.86257	62.95773
1111	2	68.56784	61.66029
1111	3	76.5148	82.49641
1113	0	76.5148	82.49641
1113	1	73.86257	62.95773
1113	2	68.56784	61.66029
1113	3	76.5148	82.49641
1120	0	76.64885	82.49641
1120	1	73.86257	62.95773
1120	2	68.56784	61.66029
1120	3	76.64885	82.49641
1123	0	76.64885	82.49641
1123	1	73.86257	62.95773
1123	2	68.56784	61.66029
1123	3	76.64885	82.49641
1125	0	76.64885	82.49641
1125	1	73.86257	62.95773
1125	2	68.56784	61.66029
1125	3	76.64885	82.49641
1127	0	76.64885	82.49641
1127	1	73.86257	62.95773
1127	2	68.56784	61.66029
1127	3	76.64885	82.49641
1128	0	76.64885	82.49641
1128	1	73.86257	62.95773
1128	2	68.56784	61.66029
1128	3	76.64885	82.49641
1130	0	76.64885	82.49641
1130	1	73.86257	62.95773
1130	2	68.56784	61.66029
1130	3	76.64885	82.49641
1140	0	82.14472	82.49641
1140	1	73.86257	62.95773
1140	2	68.56784	61.66029
1140	3	82.14472	82.49641
1141	0	82.14472	82.49641
1141	1	73.86257	62.95773
1141	2	68.56784	61.66029
1141	3	82.14472	82.49641
1142	0	82.14472	82.49641
1142	1	73.86257	62.95773
1142	2	68.56784	61.66029
1142	3	82.14472	82.49641
1143	0	82.14472	82.49641
1143	1	73.86257	62.95773
1143	2	68.56784	61.66029
1143	3	82.14472	82.49641
1150	0	76.64885	82.49641
1150	1	73.86257	62.95773
1150	2	68.56784	61.66029
1150	3	76.64885	82.49641
1160	0	76.64885	82.49641
1160	1	73.86257	62.95773
1160	2	68.56784	61.66029
1160	3	76.64885	82.49641
1200	0	85.97482	80.68176
1200	1	87.32201	78.96001
1200	2	68.56784	61.66029
1200	3	85.84866	80.77354
1210	0	92.25199	83.04369
1210	1	89.66683	78.82623
1210	2	68.56784	61.66029
1210	3	92.62077	83.4398
1220	0	82.71864	80.83927
1220	1	84.57977	78.06611
1220	2	68.56784	61.66029
1220	3	82.5495	80.99577
1221	0	78.59771	69.4274
1221	1	84.57977	78.82623
1221	2	68.56784	61.66029
1221	3	78.29948	69.11411
1222	0	83.66712	83.18393
1222	1	84.57977	78.82623
1222	2	68.56784	61.66029
1222	3	83.60172	83.34173
1223	0	87.08902	80.19751
1223	1	84.57977	78.82623
1223	2	68.56784	61.66029
1223	3	87.43884	80.25586
1224	0	83.81519	76.02179
1224	1	84.57977	78.82623
1224	2	68.56784	61.66029
1224	3	83.63157	75.74767
1225	0	87.09474	79.89037
1225	1	84.57977	78.82623
1225	2	68.56784	61.66029
1225	3	88.3988	80.11207
1226	0	75.47031	79.65873
1226	1	84.57977	58.04945
1226	2	68.56784	61.66029
1226	3	75.09191	80.11207
1227	0	87.83302	79.90904
1227	1	84.57977	78.82623
1227	2	68.56784	61.66029
1227	3	88.3988	80.11207
1228	0	87.76229	79.79061
1228	1	84.57977	78.82623
1228	2	68.56784	61.66029
1228	3	88.3988	80.11207
1229	0	88.16062	82.82101
1229	1	84.57977	78.82623
1229	2	68.56784	61.66029
1229	3	88.3988	83.05148
1230	0	82.30916	78.99004
1230	1	85.62044	80.67577
1230	2	68.56784	61.66029
