OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
7464	746	4	48	40.2	65	61.7
7469	746	9	48	40.2	48.1	45.2
7492	749	2	51.7	51.6	46.3	36.3
7494	749	4	51.7	51.6	60.6	61.7
7499	749	9	46.7	38.2	51.5	50.9
7512	751	2	32	28	31.3	25.7
7514	751	4	32	28	37.1	52.1
7519	751	9	32	28	31.4	25.7
7522	752	2	34	32.3	33.6	31.3
7524	752	4	34	32.3	46.4	52.1
7529	752	9	34	32.3	33.8	31.3
7532	753	2	35.8	33.9	35.4	33
7534	753	4	35.8	33.9	40	52.1
7539	753	9	35.8	33.9	35.8	33
7542	754	2	37.5	26.9	36.9	25.7
7544	754	4	37.5	26.9	42.2	52.1
7549	754	9	37.5	26.9	37.4	25.7
7552	755	2	39.5	41.8	39.4	41.8
7554	755	4	39.5	41.8	44.2	41.8
7559	755	9	39.5	41.8	39.8	41.8
7562	756	2	29.9	22	29	25
7564	756	4	29.9	22	37.5	52.1
7569	756	9	29.9	22	29.3	25
7572	757	2	36	33.4	35.4	31.5
7574	757	4	36	33.4	44.6	52.1
7579	757	9	36	33.4	36.1	31.5
7582	758	2	28.8	27.5	28.6	26.1
7584	758	4	28.8	27.5	37.2	52.1
7589	758	9	28.8	27.5	28.9	26.1
7592	759	2	32.2	29.2	31.6	26.6
7594	759	4	32.2	29.2	42.5	52.1
7599	759	9	32.2	29.2	32.2	28
7612	761	2	43	34.5	42.7	32.4
7614	761	4	43	34.5	49.9	64.5
7619	761	9	43	34.5	43.1	32.4
7622	762	2	38.3	19.6	37.8	19.5
7624	762	4	38.3	19.6	43	54.5
7629	762	9	38.3	19.6	38.1	19.5
